SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004012999,除税后溢利,12750734000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004025001,少数股东损益,3059000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004025002,股东应占溢利,12747675000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004027002,每股基本盈利,0.51
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004027003,每股摊薄盈利,0.5
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004030997,其他全面收益其他项目,1825436000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004030999,其他全面收益,1825436000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004039999,全面收益总额,14576170000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004040001,非控股权益应占全面收益总额,8846000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,14567324000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004099999,非运算项目,-155864160000.0
01810.HK,01810,小米集团-W,10932245,2023-06-30 00:00:00,002,12-31,2023-01-01 00:00:00,004001001,营业额,126832042000.0
